Accuracy = 7.53425% (22/292) (classification);
Chave do vetor;beach;bus;cafe/restaurant;car;city_center;forest_path;grocery_store;home;library;metro_station;office;park;residential_area;train;tram;Classe Predita;Classe correta;
a016_120_150.wav;0.0578325;0.0732457;0.0718583;0.0706308;0.0795526;0.0776788;0.0625625;0.057421;0.0630812;0.0614987;0.0534327;0.0738378;0.0666972;0.0556805;0.0749896;city_center;beach;
a016_0_30.wav;0.0578325;0.0732457;0.0718583;0.0706308;0.0795526;0.0776788;0.0625625;0.057421;0.0630812;0.0614987;0.0534327;0.0738378;0.0666972;0.0556805;0.0749896;city_center;beach;
a016_180_210.wav;0.0578325;0.0732457;0.0718583;0.0706308;0.0795526;0.0776788;0.0625625;0.057421;0.0630812;0.0614987;0.0534327;0.0738378;0.0666972;0.0556805;0.0749896;city_center;beach;
a016_150_180.wav;0.0578325;0.0732457;0.0718583;0.0706308;0.0795526;0.0776788;0.0625625;0.057421;0.0630812;0.0614987;0.0534327;0.0738378;0.0666972;0.0556805;0.0749896;city_center;beach;
a016_90_120.wav;0.0578325;0.0732457;0.0718583;0.0706308;0.0795526;0.0776788;0.0625625;0.057421;0.0630812;0.0614987;0.0534327;0.0738378;0.0666972;0.0556805;0.0749896;city_center;beach;
a016_60_90.wav;0.0578325;0.0732457;0.0718583;0.0706308;0.0795526;0.0776788;0.0625625;0.057421;0.0630812;0.0614987;0.0534327;0.0738378;0.0666972;0.0556805;0.0749896;city_center;beach;
a016_30_60.wav;0.0578325;0.0732457;0.0718583;0.0706308;0.0795526;0.0776788;0.0625625;0.057421;0.0630812;0.0614987;0.0534327;0.0738378;0.0666972;0.0556805;0.0749896;city_center;beach;
a006_30_60.wav;0.0578325;0.0732457;0.0718583;0.0706308;0.0795526;0.0776788;0.0625625;0.057421;0.0630812;0.0614987;0.0534327;0.0738378;0.0666972;0.0556805;0.0749896;city_center;beach;
a006_150_180.wav;0.0578325;0.0732457;0.0718583;0.0706308;0.0795526;0.0776788;0.0625625;0.057421;0.0630812;0.0614987;0.0534327;0.0738378;0.0666972;0.0556805;0.0749896;city_center;beach;
a006_90_120.wav;0.0578325;0.0732457;0.0718583;0.0706308;0.0795526;0.0776788;0.0625625;0.057421;0.0630812;0.0614987;0.0534327;0.0738378;0.0666972;0.0556805;0.0749896;city_center;beach;
a006_60_90.wav;0.0578325;0.0732457;0.0718583;0.0706308;0.0795526;0.0776788;0.0625625;0.057421;0.0630812;0.0614987;0.0534327;0.0738378;0.0666972;0.0556805;0.0749896;city_center;beach;
