Accuracy = 85.7143% (24/28) (classification);
Chave do vetor;beach;cafe/restaurant;car;city_center;forest_path;grocery_store;home;library;metro_station;office;park;residential_area;train;tram;Classe Predita;Classe correta;
b010_150_180.wav;0.446131;0.0126533;0.0118724;0.0821775;0.0878178;0.0174327;0.0458345;0.0341816;0.0280982;0.0225448;0.0570471;0.0911166;0.0224248;0.0406674;beach;beach;
b010_30_60.wav;0.182027;0.0167074;0.0110888;0.165332;0.160144;0.0234632;0.0385452;0.0667561;0.0523302;0.0164809;0.0989479;0.11259;0.0297853;0.0258018;beach;beach;
a083_150_180.wav;0.019302;0.350891;0.0133514;0.0111993;0.0134514;0.0913394;0.177082;0.0555453;0.0518374;0.0250078;0.0118105;0.0184667;0.119782;0.0409338;cafe/restaurant;cafe/restaurant;
a083_60_90.wav;0.0187858;0.392841;0.0162806;0.00895175;0.0132554;0.0766343;0.179759;0.0388959;0.0402759;0.0460208;0.0109981;0.0183392;0.0938135;0.0451487;cafe/restaurant;cafe/restaurant;
b096_180_210.wav;0.0130359;0.0116062;0.549043;0.0120581;0.0245143;0.0110042;0.0153297;0.0140871;0.0267431;0.0629469;0.0284489;0.0361615;0.027468;0.167553;car;car;
b096_210_240.wav;0.0139604;0.0110926;0.524205;0.013356;0.0269226;0.010882;0.0143113;0.0138988;0.0263912;0.0666385;0.0297418;0.0405743;0.0265437;0.181482;car;car;
b099_60_90.wav;0.051578;0.0165644;0.0112015;0.260999;0.124262;0.0230996;0.0228097;0.0840993;0.113723;0.0114154;0.121689;0.0917515;0.0471527;0.0196554;city_center;city_center;
b099_30_60.wav;0.108885;0.0125823;0.01105;0.337761;0.128332;0.0187536;0.0251662;0.0411042;0.0462532;0.0134041;0.102375;0.0997726;0.0305579;0.0240031;city_center;city_center;
a040_30_60.wav;0.044834;0.0144795;0.011764;0.172268;0.214851;0.0193584;0.0257548;0.0799477;0.0537595;0.014822;0.167367;0.102293;0.0595641;0.0189362;forest_path;forest_path;
a040_141_171.wav;0.0412099;0.0146916;0.0119239;0.156752;0.190598;0.0195684;0.0238699;0.0913144;0.0756723;0.0133285;0.183737;0.099194;0.0595496;0.0185907;forest_path;forest_path;
b085_60_90.wav;0.0421838;0.0203556;0.0139732;0.0287107;0.0292965;0.183605;0.120567;0.0471272;0.0865808;0.0413649;0.0218824;0.0677213;0.0829278;0.213703;tram;grocery_store;
b085_0_30.wav;0.0273991;0.0336591;0.0146804;0.0163394;0.0219655;0.351531;0.128999;0.0540798;0.0639451;0.0449705;0.020769;0.0439042;0.110762;0.0669954;grocery_store;grocery_store;
