Accuracy = 92.8571% (26/28) (classification);
Chave do vetor;beach;cafe/restaurant;car;city_center;forest_path;grocery_store;home;library;metro_station;office;park;residential_area;train;tram;Classe Predita;Classe correta;
b010_120_150.wav;0.435503;0.0138171;0.0141807;0.0805956;0.0609535;0.0281143;0.042483;0.0325291;0.0385344;0.0240984;0.0379827;0.106371;0.0262631;0.0585742;beach;beach;
b022_120_150.wav;0.473164;0.0222211;0.0148002;0.0540387;0.041255;0.0263646;0.029257;0.05205;0.104941;0.0135897;0.0286779;0.0705528;0.0322666;0.0368215;beach;beach;
a083_120_150.wav;0.013523;0.666046;0.0172415;0.00824828;0.0129771;0.0362263;0.0586361;0.0277491;0.0398083;0.0209763;0.010281;0.0131978;0.055492;0.0195977;cafe/restaurant;cafe/restaurant;
a083_90_120.wav;0.0365819;0.357446;0.0156229;0.012171;0.0181031;0.0451273;0.119193;0.0716648;0.136845;0.0199313;0.0133604;0.0217657;0.101408;0.0307791;cafe/restaurant;cafe/restaurant;
b096_0_30.wav;0.0182975;0.0273751;0.279469;0.0192227;0.0297115;0.0150711;0.0257998;0.0240511;0.0703231;0.123575;0.0401512;0.0644694;0.0637849;0.198699;car;car;
b096_270_300.wav;0.0193006;0.0257928;0.399855;0.0188642;0.0304625;0.0148768;0.0223796;0.0210884;0.0575141;0.0838163;0.0324169;0.0494879;0.0501835;0.173961;car;car;
b099_90_120.wav;0.0658142;0.022893;0.0113432;0.19376;0.0996017;0.048472;0.0264516;0.14514;0.143185;0.0109045;0.0663335;0.0880213;0.0608972;0.0171828;city_center;city_center;
b094_90_120.wav;0.0279272;0.0170676;0.0124959;0.37149;0.0764716;0.0398124;0.0176154;0.0727361;0.105749;0.0102843;0.0758191;0.075819;0.0763615;0.0203515;city_center;city_center;
a040_0_30.wav;0.0215264;0.0510583;0.0237525;0.023621;0.308246;0.0272586;0.0368383;0.0988044;0.0834023;0.0414678;0.0407095;0.0450578;0.16931;0.0289476;forest_path;forest_path;
a096_180_210.wav;0.0308692;0.0128695;0.0263576;0.0545729;0.191153;0.0138735;0.0190524;0.0189589;0.0345178;0.0732568;0.231328;0.211514;0.0507653;0.0309106;park;forest_path;
b085_180_210.wav;0.013017;0.107726;0.0153755;0.0232713;0.0432739;0.0630348;0.0310901;0.239137;0.175392;0.0165533;0.0339932;0.0267489;0.193966;0.0174211;library;grocery_store;
b085_150_180.wav;0.0180457;0.0362667;0.0122854;0.0293387;0.0290206;0.311733;0.0452385;0.154899;0.115301;0.0156914;0.0302382;0.0473012;0.130742;0.0238985;grocery_store;grocery_store;
a031_60_90.wav;0.0196883;0.0489288;0.0170378;0.00985549;0.0230678;0.0399366;0.441362;0.0379056;0.0555016;0.143373;0.0153628;0.0216156;0.0921429;0.0342212;home;home;
a031_120_150.wav;0.0159947;0.0812987;0.0150334;0.00982721;0.0218597;0.0225469;0.418525;0.0489235;0.0558061;0.0695036;0.014782;0.022834;0.166798;0.0362672;home;home;
