Accuracy = 71.4286% (20/28) (classification);
Chave do vetor;beach;cafe/restaurant;car;city_center;forest_path;grocery_store;home;library;metro_station;office;park;residential_area;train;tram;Classe Predita;Classe correta;
b022_60_90.wav;0.287983;0.0645198;0.0230176;0.0461785;0.0327309;0.0840532;0.0423577;0.0895434;0.133612;0.0377648;0.0227568;0.0435487;0.0436352;0.0482984;beach;beach;
b022_180_210.wav;0.427443;0.0450117;0.0217871;0.0647013;0.0363855;0.0496815;0.0323129;0.0627035;0.0820632;0.0311215;0.0247943;0.0411623;0.0387393;0.042093;beach;beach;
a060_60_90.wav;0.0371797;0.188525;0.0279913;0.0340999;0.0377734;0.160625;0.101554;0.0945837;0.116713;0.0417031;0.0207547;0.0410528;0.0576488;0.0397951;cafe/restaurant;cafe/restaurant;
a060_0_30.wav;0.0365772;0.194651;0.0319029;0.0310077;0.0441595;0.14293;0.109656;0.0736736;0.104181;0.0482761;0.0219185;0.048415;0.069695;0.0429571;cafe/restaurant;cafe/restaurant;
b096_150_180.wav;0.0331528;0.0519386;0.393117;0.0262039;0.0442704;0.0529665;0.0424103;0.039859;0.068418;0.0588678;0.0201601;0.0553928;0.0694984;0.043744;car;car;
b096_30_60.wav;0.0309765;0.0476224;0.416172;0.0246613;0.0417378;0.0486479;0.0394155;0.0369623;0.0622149;0.0651766;0.0196324;0.0607801;0.0634923;0.0425081;car;car;
b094_210_240.wav;0.048195;0.025543;0.0194337;0.177906;0.0921709;0.0525492;0.022719;0.051816;0.100466;0.0315725;0.0663718;0.168649;0.0979932;0.0446141;city_center;city_center;
b094_30_60.wav;0.030166;0.0248529;0.0183475;0.440196;0.0543633;0.0382721;0.0213386;0.0496664;0.128094;0.0219673;0.0402852;0.0356984;0.0717683;0.0249846;city_center;city_center;
a096_0_30.wav;0.103803;0.0218546;0.0160845;0.134812;0.131017;0.0473536;0.0209269;0.0865016;0.114579;0.0316216;0.135727;0.0930547;0.0352937;0.0273709;park;forest_path;
a096_90_120.wav;0.052669;0.0251782;0.0193844;0.0398122;0.141221;0.0408798;0.0228325;0.0336671;0.060975;0.0622485;0.0497398;0.36033;0.0461274;0.0449359;residential_area;forest_path;
b087_60_90.wav;0.0381561;0.0344895;0.0158431;0.0567772;0.0219221;0.323524;0.0262006;0.170362;0.163013;0.0242968;0.0162651;0.0287812;0.0488859;0.0314829;grocery_store;grocery_store;
b087_30_60.wav;0.0494521;0.036506;0.0164828;0.0777376;0.0243293;0.269863;0.0264444;0.195944;0.156743;0.0242468;0.017852;0.0296207;0.0446601;0.0301183;grocery_store;grocery_store;
b032_60_90.wav;0.0354598;0.126422;0.0327468;0.0278475;0.0460661;0.125907;0.148965;0.0474462;0.0935762;0.075538;0.0220578;0.0517468;0.0813461;0.0848746;home;home;
b032_180_210.wav;0.0524926;0.0544544;0.0181591;0.0289323;0.0266928;0.198723;0.0870216;0.151477;0.171886;0.0579445;0.0180031;0.0375286;0.0419336;0.0547523;grocery_store;home;
b034_90_120.wav;0.0776482;0.0581245;0.0208312;0.0377043;0.0304645;0.114009;0.0487922;0.272075;0.147309;0.0391798;0.0188161;0.0348958;0.0429318;0.0572182;library;library;
b025_150_180.wav;0.0925763;0.0466544;0.019457;0.104812;0.04727;0.156088;0.0373339;0.216856;0.115629;0.0285536;0.0273024;0.0379701;0.0379043;0.0315936;library;library;
a084_92_122.wav;0.0800315;0.0395244;0.0173397;0.149836;0.0335092;0.129974;0.0276468;0.188172;0.187495;0.0239001;0.0289676;0.0319219;0.0318938;0.0297882;library;metro_station;
a084_62_92.wav;0.102712;0.0748665;0.0219533;0.0315885;0.0291898;0.0894286;0.079059;0.12022;0.19354;0.0465905;0.0190621;0.0419254;0.045534;0.10433;metro_station;metro_station;
a099_120_150.wav;0.0241251;0.0277922;0.0274994;0.0188626;0.072092;0.0355444;0.0272633;0.032103;0.0485015;0.432938;0.0300905;0.132949;0.0494252;0.0408133;office;office;
b115_120_150.wav;0.0324587;0.0397409;0.0417896;0.0227537;0.0604208;0.0446696;0.0359447;0.03507;0.0577895;0.271924;0.0247074;0.193725;0.0569622;0.082044;office;office;
a018_60_90.wav;0.0218191;0.0202917;0.0159239;0.0361482;0.115999;0.040539;0.0186289;0.0659309;0.177632;0.0259881;0.296576;0.075515;0.068762;0.0202465;park;park;
a017_120_150.wav;0.0506675;0.0192395;0.0155855;0.073723;0.129473;0.0431291;0.0181945;0.0548777;0.1033;0.0367968;0.184311;0.188449;0.0538619;0.0283917;residential_area;park;
a001_150_180.wav;0.0457512;0.0197541;0.0153713;0.0735294;0.123055;0.0571308;0.0190719;0.0898548;0.145198;0.0364636;0.120971;0.170125;0.0574489;0.0262736;residential_area;residential_area;
a001_0_30.wav;0.108886;0.0241113;0.0170345;0.194026;0.0666632;0.0743901;0.0225877;0.103229;0.131333;0.0305897;0.0646099;0.0761691;0.0447598;0.0416099;city_center;residential_area;
b065_114_144.wav;0.0211194;0.0329391;0.0223456;0.0242273;0.0357933;0.058982;0.0288202;0.038254;0.0796021;0.0346373;0.0163809;0.0579829;0.507916;0.0409999;train;train;
a145_180_210.wav;0.0389718;0.0938144;0.0220149;0.0294621;0.0332697;0.169102;0.110031;0.131226;0.156224;0.051782;0.0202921;0.0385154;0.0499197;0.0553746;grocery_store;train;
b082_0_30.wav;0.0338457;0.0500649;0.127712;0.026578;0.0534076;0.0581673;0.042176;0.040897;0.0870078;0.143331;0.0275801;0.153489;0.0743998;0.0813443;residential_area;tram;
